,532,39230,21259450
0,550,17365,9952980
00,541,8628,5063408
000,478,4119,2318552
0000,425,2011,1165655
00000,369,1123,684487
000000,230,520,288230
0000000,117,245,114805
00000000,45,101,38125
000000000,31,46,24786
000000001,25,55,20355
00000001,103,144,90752
000000010,67,77,54799
000000011,54,67,43768
0000001,184,275,185650
00000010,71,149,63139
000000100,74,88,61262
000000101,47,61,37907
00000011,95,126,82050
000000110,42,47,33364
000000111,68,79,55742
000001,330,603,440620
0000010,220,303,227990
00000100,122,148,107846
000001000,63,72,51256
000001001,67,76,54732
00000101,103,155,91885
000001010,61,71,49591
000001011,71,84,58524
0000011,173,300,178920
00000110,124,152,110098
000001100,65,72,52860
000001101,67,80,55000
00000111,111,148,98188
000001110,66,80,54190
000001111,53,68,43024
00001,342,888,554086
000010,284,477,343518
0000100,154,253,152112
00001000,117,145,103105
000010000,60,69,48670
000010001,65,76,53120
00001001,86,108,72798
000010010,48,54,38362
000010011,45,54,36010
0000101,163,224,156232
00001010,86,106,72626
000010100,49,56,39244
000010101,42,50,33490
00001011,100,118,85530
000010110,48,55,38410
000010111,56,63,45138
000011,241,411,275711
0000110,158,203,148144
00001100,80,97,66890
000011000,51,60,41020
000011001,33,37,26041
00001101,92,106,77642
000011010,49,56,39244
000011011,45,50,35830
0000111,109,208,102972
00001110,95,127,82145
000011100,43,59,34657
000011101,62,68,50206
00001111,60,81,49390
000011110,32,35,25210
000011111,35,46,27890
0001,476,2108,1351618
00010,413,1116,763128
000100,305,595,404855
0001000,238,339,255152
00010000,139,178,126942
000100000,77,94,64178
000100001,71,84,58524
00010001,132,161,118342
000100010,55,80,45280
000100011,68,81,55878
0001001,171,256,169336
00010010,77,123,66411
000100100,50,58,40130
000100101,52,65,42070
00010011,99,133,86167
000100110,58,68,47014
000100111,50,65,40480
000101,303,521,379783
0001010,208,296,214138
00010100,104,160,93290
000101000,58,69,47072
000101001,77,91,63947
00010101,110,136,95990
000101010,62,74,50578
000101011,54,62,43498
0001011,149,225,143025
00010110,94,115,80160
000101100,48,57,38506
000101101,50,58,40130
00010111,96,110,81370
000101110,64,72,52058
000101111,34,38,26842
00011,400,992,689530
000110,278,496,341558
0001100,180,236,174610
00011000,77,102,64794
000110000,36,42,28522
000110001,54,60,43390
00011001,110,134,95770
000110010,47,63,38001
000110011,61,71,49591
0001101,172,260,171010
00011010,76,120,65330
000110100,52,67,42174
000110101,47,53,37531
00011011,76,140,66850
000110110,53,67,42971
000110111,60,73,48910
000111,287,496,352592
0001110,161,220,153680
00011100,105,124,90400
000111000,45,50,35830
000111001,65,74,52990
00011101,74,96,61854
000111010,45,53,35965
000111011,35,43,27785
0001111,184,276,185834
00011110,107,148,94676
000111100,51,67,41377
000111101,65,81,53445
00011111,105,128,90820
000111110,45,51,35875
000111111,63,77,51571
001,541,4509,2835029
0010,515,2255,1538005
00100,444,1101,813694
001000,324,530,408970
0010000,160,202,149850
00100000,71,84,58524
001000000,39,45,30955
001000001,36,39,28414
00100001,103,118,88074
001000010,46,52,36702
001000011,59,66,47694
0010001,227,328,240896
00100010,105,142,92290
001000100,64,74,52186
001000101,59,68,47812
00100011,147,186,135382
001000110,88,106,74298
001000111,70,80,57430
001001,348,571,453478
0010010,229,282,232478
00100100,120,142,105370
001001000,61,69,49469
001001001,65,73,52925
00100101,115,140,100780
001001010,56,62,45082
001001011,64,78,52442
0010011,212,289,216758
00100110,129,157,115153
001001100,66,75,53860
001001101,70,82,57570
00100111,105,132,91240
001001110,50,59,40180
001001111,61,73,49713
00101,440,1154,829690
001010,331,592,438312
0010100,220,306,228650
00101000,119,145,104855
001010000,61,70,49530
001010001,65,75,53055
00101001,136,161,121906
001010010,73,86,60298
001010011,65,75,53055
0010101,183,286,186658
00101010,110,145,96980
001010100,58,71,47188
001010101,60,74,48970
00101011,113,141,99153
001010110,48,57,38506
001010111,72,84,59338
001011,337,562,436134
0010110,195,262,194170
00101100,115,140,100780
001011000,74,88,61262
001011001,46,52,36702
00101101,105,122,90190
001011010,48,58,38554
001011011,57,64,45988
0010111,215,300,222180
00101110,116,145,102230
001011100,57,68,46216
001011101,65,77,53185
00101111,122,155,108700
001011110,59,71,47989
001011111,70,84,57710
0011,542,2254,1618058
00110,464,1080,840570
001100,334,536,423574
0011000,203,265,202715
00110000,110,130,95330
001100000,55,62,44290
001100001,59,68,47812
00110001,114,135,99340
001100010,67,76,54732
001100011,51,59,40969
0011001,197,271,197927
00110010,101,125,87085
001100100,55,64,44400
001100101,50,61,40280
00110011,115,146,101470
001100110,66,78,54058
001100111,56,68,45418
001101,334,544,426246
0011010,193,255,190835
00110100,91,110,77170
001101000,35,39,27645
001101001,60,71,48790
00110101,118,145,103980
001101010,59,68,47812
001101011,65,77,53185
0011011,208,289,212682
00110110,116,146,102346
001101100,61,73,49713
001101101,60,73,48910
00110111,122,143,107236
001101110,57,66,46102
001101111,66,77,53992
00111,448,1174,853722
001110,336,575,439210
0011100,1,288,1748
00111000,92,116,78562
001110000,47,57,37719
001110001,50,59,40180
00111001,131,172,118892
001110010,60,70,48730
001110011,81,102,68122
0011101,226,287,230572
00111010,113,134,98362
001110100,61,69,49469
001110101,56,65,45250
00111011,122,153,108456
001110110,64,77,52378
001110111,66,76,53926
001111,324,599,431326
0011110,191,266,190966
00111100,101,133,87893
001111000,60,73,48910
001111001,48,60,38650
00111101,108,133,93934
001111010,59,72,48048
001111011,49,61,39489
0011111,217,333,231401
00111110,131,180,119940
001111100,66,85,54520
001111101,76,95,63430
00111111,125,153,111105
001111110,57,73,46501
001111111,65,80,53380
01,580,8737,5491590
010,530,4518,2782170
0100,508,2082,1429226
01000,413,1096,754868
010000,290,527,365260
0100000,218,297,224616
01000000,110,153,97860
010000000,58,68,47014
010000001,69,85,56965
01000001,122,144,107358
010000010,69,77,56413
010000011,57,67,46159
0100001,152,230,146650
01000010,72,104,60778
010000100,38,54,30522
010000101,44,50,35050
01000011,99,126,85474
010000110,48,61,38698
010000111,57,65,46045
010001,304,569,395626
0100010,184,299,190066
01000100,99,146,87454
010001000,64,71,51994
010001001,54,75,44200
01000101,118,153,104924
010001010,58,69,47072
010001011,67,84,55268
0100011,177,270,177730
01000110,101,133,87893
010001100,58,66,46898
010001101,60,67,48550
01000111,106,137,92632
010001110,45,55,36055
010001111,71,82,58382
01001,433,986,743758
010010,274,446,322954
0100100,178,239,173212
01001000,105,125,90505
010010000,44,48,34962
010010001,66,77,53992
01001001,92,114,78378
010010010,39,47,31033
010010011,58,67,46956
0100101,150,207,141280
01001010,80,104,67450
010010100,34,41,26944
010010101,52,63,41966
01001011,85,103,71535
010010110,35,40,27680
010010111,53,63,42759
010011,329,540,418560
0100110,198,262,197146
01001100,99,123,85177
010011000,50,61,40280
010011001,53,62,42706
01001101,116,139,101534
010011010,65,76,53120
010011011,56,63,45138
0100111,203,278,205354
01001110,110,136,95990
010011100,65,78,53250
010011101,50,58,40130
01001111,115,142,101010
010011110,66,78,54058
010011111,55,64,44400
0101,475,2436,1504580
01010,362,1235,712060
010100,351,681,495991
0101000,228,327,241726
01010000,128,155,114010
010100000,81,94,67474
010100001,54,61,43444
01010001,136,172,123402
010100010,72,83,59266
010100011,77,89,63793
0101001,197,354,214278
01010010,123,178,112414
010100100,82,93,68216
010100101,75,85,61855
01010011,127,176,115792
010100110,70,86,57850
010100111,70,90,58130
010101,289,554,371806
0101010,189,288,193132
01010100,116,143,101998
010101000,68,79,55742
010101001,52,64,42018
01010101,117,145,103105
010101010,70,83,57640
010101011,48,62,38746
0101011,141,266,141166
01010110,94,145,82980
010101100,65,78,53250
010101101,57,67,46159
01010111,103,121,88383
010101110,46,52,36702
010101111,61,69,49469
01011,436,1201,842646
010110,344,613,462722
0101100,223,337,238671
01011000,106,141,93056
010110000,66,88,54718
010110001,47,53,37531
01011001,152,196,141482
010110010,85,103,71535
010110011,71,93,59163
0101101,206,276,207966
01011010,91,132,79172
010110100,59,67,47753
010110101,57,65,46045
01011011,115,144,101240
010110110,72,85,59410
010110111,50,59,40180
010111,326,588,430398
0101110,202,301,208992
01011100,124,160,111090
010111000,66,82,54322
010111001,65,78,53250
01011101,110,141,96540
010111010,74,89,61336
010111011,45,52,35920
0101111,202,287,206164
01011110,119,144,104736
010111100,55,64,44400
010111101,67,80,55000
01011111,110,143,96760
010111110,67,81,55067
010111111,51,62,41122
011,574,4219,2841456
0110,536,2115,1525650
01100,436,967,740622
011000,314,471,377844
0110000,192,245,187930
01100000,100,120,85730
011000000,55,65,44455
011000001,49,55,39195
01100001,104,125,89650
011000010,48,54,38362
011000011,61,71,49591
0110001,180,226,172810
01100010,98,112,83246
011000100,54,61,43444
011000101,45,51,35875
01100011,96,114,81754
011000110,42,46,33322
011000111,57,68,46216
011001,298,496,366078
0110010,187,264,186608
01100100,99,125,85375
011001000,43,53,34399
011001001,61,72,49652
01100101,94,139,82416
011001010,58,73,47304
011001011,45,66,36550
0110011,168,232,162346
01100110,86,116,73486
011001100,37,47,29479
011001101,58,69,47072
01100111,96,116,81946
011001110,45,52,35920
011001111,54,64,43606
01101,452,1148,849586
011010,317,556,408392
0110100,194,270,194730
01101000,122,143,107236
011010000,59,72,48048
011010001,57,71,46387
01101001,104,127,89858
011010010,57,65,46045
011010011,53,62,42706
0110101,1,286,1746
01101010,106,144,93374
011010100,58,75,47420
011010101,56,69,45474
01101011,107,142,94034
011010110,54,67,43768
011010111,60,75,49030
011011,340,592,450210
0110110,227,297,233859
01101100,115,146,101470
011011000,53,61,42653
011011001,69,85,56965
01101101,126,151,111736
011011010,58,72,47246
011011011,65,79,53315
0110111,228,295,234430
01101110,113,144,99492
011011100,52,63,41966
011011101,67,81,55067
01101111,117,151,103807
011011110,66,82,54322
011011111,58,69,47072
0111,529,2104,1499916
01110,425,1027,747455
011100,303,477,366451
0111000,189,255,186895
01110000,102,126,88042
011100000,61,70,49530
011100001,47,56,37672
01110001,104,129,90066
011100010,50,58,40130
011100011,59,71,47989
0111001,176,222,168282
01110010,88,106,74298
011100100,52,59,41758
011100101,42,47,33364
01110011,96,116,81946
011100110,48,56,38458
011100111,51,60,41020
011101,314,550,402650
0111010,191,266,190966
01110100,89,114,75846
