,lon,-90.7964,232,393180,91387850,0
00000101,lon,-120.45,197,1525,444965,1
110000,lon,-84.7667,286,6580,2091390,0
110001,lon,-84.6333,299,6250,2087750,0
11110,lat,57.9831,228,20466,4833418,0
010,lat,48.0667,284,46109,13303006,0
01000000,lon,-123.3572,177,1382,374554,0
110110101,lat,43.9806,192,937,320794,0
10101,lat,-33.535,200,8676,1881930,1
10100,lat,-22.2562,115,11424,1398440,1
010100010,lat,55.2667,217,779,328183,1
010100011,lat,54.5,166,935,277120,1
10011111,lon,-79.9167,201,1661,481321,0
110001100,lat,42.3264,137,741,202257,0
011101100,lat,50.43,139,593,184627,1
011101101,lat,50.43,134,720,195030,1
100100101,lat,36.15,167,707,240709,0
010110000,lat,48.6833,117,750,173890,1
010110001,lat,48.5667,191,697,273287,1
101110001,lat,19.533,150,750,222730,1
101110000,lat,18.25,214,703,307392,1
00011110,lon,-105.9167,159,1402,339718,0
00011111,lon,-106.2833,205,1397,436765,0
100010100,lat,26.6928,125,613,168605,1
000011010,lat,36.05,134,558,173322,1
111001110,lat,49.2,200,910,328730,0
00110111,lon,-98.0733,197,1479,435903,1
0001000,lat,38.0167,266,3262,1062602,1
0001001,lat,37.9567,202,2422,637434,1
01000,lat,45.2214,298,11057,3513256,0
001100101,lat,36.0642,139,538,176982,0
000110000,lat,37.7686,152,573,198786,0
01100011,lon,-103.2683,231,1178,441478,0
100000100,lat,30.7794,155,712,224240,1
000001000,lat,35.1503,202,795,308780,1
101100001,lat,35.2975,150,734,220330,0
1000111,lat,34.3667,254,2933,931132,0
011,lat,45.8167,347,41706,14726022,0
001010100,lat,29.9689,128,731,187738,1
0101110,lat,52.45,209,3126,806634,0
111011111,lat,50.05,261,1033,460873,0
000,lat,37.0856,256,42019,10944474,0
011011010,lat,45.1539,141,627,192067,1
011011011,lat,45.2203,155,809,239275,1
001110101,lat,36.2747,166,603,222008,1
001110100,lat,36.2,180,649,248950,1
011010010,lat,42.9131,153,637,209881,0
00001111,lon,-106.45,150,1082,272530,0
101011100,lat,-31.5086,165,526,207970,1
110111111,lat,47.57,180,632,245890,1
11111111,lon,136.217,255,2227,754765,0
0110,lon,-99.4894,351,20968,7616728,0
0111,lon,-102.83,319,20738,6849022,0
000100011,lat,38.535,217,895,353355,1
000100010,lat,38.4917,201,750,298210,1
1011101,lat,30.733,185,5217,1100925,1
1011100,lat,23.467,35,3433,146435,1
111111000,lat,58.567,182,1076,329422,0
01101010,lon,-93.0989,161,1586,373606,0
111011010,lat,49.75,166,1437,360452,0
001001,lon,-100.2831,313,5630,1991410,0
100110010,lat,37.8667,168,688,238954,0
0111110,lat,49.93,234,2463,747892,0
0111111,lat,49.68,217,2812,769344,0
01000001,lon,-123.2206,166,1526,375226,0
000011101,lat,35.0028,220,585,290030,0
110111000,lat,45.62,145,614,195610,0
110011110,lat,42.9667,207,836,324892,0
1000010,lat,34.3061,234,2843,836812,0
101110111,lat,33.95,154,1274,309346,0
010000000,lat,42.6003,120,624,163210,1
010000001,lat,42.3167,169,758,252202,1
011011,lon,-94.9167,274,5824,1796526,0
100010,lon,-81.717,259,5773,1685007,0
100010000,lat,27.9619,173,708,249504,1
11101110,lon,84.917,225,2164,651880,0
101011,lon,149.5242,192,4301,966682,1
101010,lon,146.55,281,4375,1435235,1
1110001,lat,43.5667,247,4843,1377261,0
00100100,lon,-102.8072,247,1275,495965,1
00100101,lon,-102.4333,243,1518,546994,1
001111000,lat,39.2419,138,720,200830,0
11011110,lon,-71.52,184,912,302858,0
11011111,lon,-71.22,229,1319,469951,0
0,lat,41.4917,272,174650,47704090,0
00000011,lon,-116.9814,187,1354,390438,0
111101000,lat,59.3,115,1308,235100,1
111101001,lat,59.3867,163,1447,355581,1
101,lat,17.3833,126,51305,6557140,0
100101011,lat,40.0397,130,676,183510,1
100101010,lat,40.0083,133,748,197304,1
11000,lat,42.05,322,12830,4367050,0
011110101,lat,46.4203,161,672,226452,0
0100011,lat,46.5833,214,2748,745022,0
001001000,lat,32.6333,191,595,253805,0
010000111,lat,44.4667,138,572,180406,1
110001110,lat,43.0581,184,755,273970,1
110001111,lat,43.18,168,791,256258,1
110001001,lat,42.3842,187,758,278986,1
010001100,lat,45.61,127,646,175482,1
010001101,lat,45.95,208,717,301706,1
1111000,lat,52.7017,209,5261,1252849,0
100110001,lat,36.1472,181,647,249967,0
11001111,lon,-72.2003,250,1609,585480,0
010101,lon,-147.8739,186,5700,1196710,1
101001010,lat,11.43,190,1046,338170,0
10011010,lon,-80.2222,224,1508,502042,0
101001001,lat,-17.817,117,1184,224668,0
0000101,lat,32.2622,165,2175,480055,0
010100111,lat,49.35,137,857,218149,1
010100110,lat,49.53,172,827,268534,1
101101101,lat,39.65,184,809,283906,0
100111110,lat,40.2686,165,894,268690,0
000100110,lat,38.4883,129,593,171397,1
0010101,lat,30.6036,191,2851,684701,0
01110000,lon,-110.55,209,1309,426881,1
110000010,lat,41.8,147,801,225787,0
110000011,lat,41.7,169,890,274510,0
10000101,lon,-89.1597,193,1484,428032,1
100010101,lat,26.0933,181,763,270963,1
011101001,lat,50.33,147,708,212116,1
011101000,lat,50.58,119,562,154478,1
1101000,lat,44.2656,256,2507,829402,0
1101001,lat,43.98,284,2776,996434,0
00111100,lon,-95.2358,162,1433,351136,0
00111101,lon,-95.3867,164,1469,361366,0
1010001,lat,-32.9869,298,2074,836322,1
1010000,lat,-32.0486,99,2615,331885,1
01110,lat,49.2,274,10577,3098848,0
01111,lat,48.2725,296,10161,3224466,0
10101100,lon,147.1524,210,945,352480,0
01100110,lon,-103.4819,207,1188,397756,1
01100111,lon,-103.5464,207,1082,375814,1
101010101,lat,-40.2028,100,583,132030,1
101010100,lat,-41.8983,201,538,255598,1
1100011,lat,42.93,261,3217,1030897,0
000101,lon,-120.4725,269,5531,1684939,0
000100,lon,-120.6706,239,5684,1533676,0
00001010,lon,-107.25,154,1004,267766,0
0110010,lat,44.8503,219,2406,687514,0
0110011,lat,44.6667,248,2270,744730,0
011011110,lat,45.0,136,830,212890,0
0011000,lat,36.9667,291,2665,988675,0
000001100,lat,34.2211,187,732,274124,0
11111010,lon,128.65,256,1963,690138,0
000101111,lat,40.7178,153,548,196264,1
000101110,lat,40.6117,190,753,282500,1
10000100,lon,-89.0711,203,1359,424797,1
001000111,lat,29.8706,189,859,301051,0
01111101,lon,-101.27,192,1374,404698,0
01111100,lon,-100.4,188,1089,342702,0
110011101,lat,42.3833,178,963,302084,0
00101000,lon,-96.2536,202,1598,470986,0
001010101,lat,30.0333,140,775,211430,1
1111101,lat,53.15,284,4114,1376426,0
010011100,lat,45.9183,165,625,224305,0
111000001,lat,44.65,252,999,436438,0
00010001,lon,-122.05,262,1645,622980,1
00010000,lon,-122.0481,210,1617,493600,1
111100101,lat,52.25,170,1086,309450,0
100001011,lat,35.155,169,738,248822,1
010101011,lat,64.7919,147,689,209323,1
010101010,lat,65.5858,155,864,247800,1
0111011,lat,51.25,204,2867,734518,0
0111010,lat,52.07,218,2684,744982,0
1,lat,40.7742,179,218530,39248270,0
110101010,lat,48.23,183,768,274864,1
1001110,lat,39.8167,211,3039,795989,0
10001110,lon,-80.3667,216,1337,447202,0
110101011,lat,47.2375,122,701,175312,1
101110,lon,103.567,105,8650,985630,0
110100110,lat,44.45,206,695,294280,1
110100111,lat,44.35,163,627,221921,1
010101000,lat,59.7333,152,742,224474,1
011001110,lat,45.0983,147,497,181099,1
011001111,lat,45.2667,151,585,199295,1
010001,lon,-121.8333,258,5826,1692178,0
00000110,lon,-117.3833,192,1566,441562,1
00000111,lon,-115.4278,153,1293,310249,1
011000,lon,-106.4136,308,4586,1638058,0
011001,lon,-106.9694,279,4676,1509004,0
110111100,lat,46.18,135,463,161785,0
11000011,lon,-82.7167,233,1653,555969,0
111110111,lat,54.733,194,1014,339066,0
011100100,lat,46.5833,151,613,203523,0
10010110,lon,-85.7667,169,1547,385543,1
10010111,lon,-85.7611,168,1715,411490,1
111111,lon,96.583,223,9277,2232291,0
1001010,lat,39.4158,196,2892,710642,0
1001011,lat,39.55,199,3262,795138,0
1100000,lat,41.4931,221,3219,873459,0
111010011,lat,45.183,197,1144,369908,0
101101110,lat,40.3667,181,744,267524,0
000100111,lat,38.45,138,599,184132,1
11110011,lon,24.417,228,2454,726682,0
001101100,lat,39.4483,152,709,219458,0
11001010,lon,-73.1167,251,1897,660107,0
101000100,lat,-33.8878,224,540,285210,0
101000101,lat,-34.8533,141,567,183607,0
11010001,lon,-88.3786,223,1279,448737,1
11010000,lon,-88.4533,220,1228,431490,1
011000010,lat,43.4,147,513,183451,1
011000011,lat,43.2372,160,568,208410,1
010111110,lat,54.15,160,777,241850,1
110101001,lat,45.7181,159,557,205363,1
110101000,lat,45.7081,132,596,175762,1
110010001,lat,41.0089,166,621,224996,0
001011101,lat,32.9667,153,756,228088,1
001011100,lat,32.8869,152,620,205930,1
100011010,lat,35.0592,175,729,256055,0
00110000,lon,-102.6133,246,1268,492238,1
00110001,lon,-102.1236,238,1397,506956,1
11100001,lon,-66.61,284,1840,730610,0
10100000,lon,77.5,53,1311,108903,0
00010,lat,39.0117,276,11215,3297550,0
00011,lat,39.5264,300,10184,3274930,0
1100101,lat,41.5833,283,3510,1200650,0
100000101,lat,30.6,111,660,155020,1
110011,lon,-73.8167,329,6569,2402101,0
110000110,lat,41.5725,160,796,244890,0
000010101,lat,28.83,125,512,155980,1
000010100,lat,29.33,113,492,138816,1
000001001,lat,34.5958,195,806,300250,1
10001000,lon,-82.3161,208,1477,459786,0
10111010,lon,114.05,169,2666,574654,1
110000000,lat,41.1739,133,781,201693,0
10111,lat,34.683,159,18751,3098209,0
000100001,lat,37.5667,206,816,319206,1
01011,lat,50.3,273,12297,3557101,0
01010,lat,56.95,147,12781,1986847,0
0101111,lat,52.55,226,2840,807550,0
100111101,lat,39.3333,187,793,285531,0
00011101,lon,-111.6722,144,1010,251290,1
00011100,lon,-111.55,194,1114,358466,1
100011101,lat,33.6833,177,692,252424,1
